"","OBJECTID","LANESTART","LANEEND","SVLType","OperatingDay","StartingHourM","EndingHourM","EndingHourE","LanePositionNew","StartingHourE","Shape__Length"
"151",151,"37 Walmsley Road (N of Kaka Street)","27 Walmsley Road (N of Kaka Street)","T3","Monday to Friday",7,10,19,"Kerbside",16,107.526535353771
"152",152,"42 Walmsley Road (S of Kaka St)","80 Walmsley Road (N of Mangere Road)","T3","Monday to Friday",7,10,19,"Kerbside",16,378.78377713389
"153",153,"95-87 Atkinson Ave (N of King Street)","85-81 Atkinson Ave (S of Gordon Road)","T2","Monday to Friday",7,10,19,"Kerbside",16,74.8237189658454
"154",154,"65 Atkinson Avenue (N of Princes Street)","678-682 Mount Wellington Hwy (N of Portage Road)
678-682 Mount Wellington Hwy (N of Portage Road)","T2","Monday to Friday",7,10,19,"Kerbside",16,559.397338039446
"155",155,"32 Atkinson Ave (S of Princes Street)
32 Atkinson Ave (S of Princes Street)
32 Atkinson Ave (S of Princes Street)","44 Atkinson Ave (N of King Street)
44 Atkinson Ave (N of King Street)
","T2","Monday to Friday",7,10,19,"Kerbside",16,118.423301123067
"156",156,"Opposite 9 Atkinson Avenue (S of Portage Road)","20 Atkinson Avenue (N of Princes Street)","T2","Monday to Friday",7,10,19,"Kerbside",16,415.168870687277
"157",157,"1443 Great North Road (north of Oakley Ave)","Oakley Creek Bridge (S of SH16 interchange)","Bus","Monday to Friday",7,10,19,"Kerbside",16,497.061374695631
"158",158,"Intersection with Memorial Avenue","1017 Dominion Road","Bus","Monday to Friday",7,10,NA,NA,NA,117.814518595042
"159",159,"Intersection with Richardson Road","1131 Dominion Road","Bus","Monday to Friday",7,10,NA,NA,NA,906.613718427233
"160",160,"223 Symonds Street","135 Symonds Street (Opposite Glenside Crescent)","Bus","Monday to Friday",7,10,NA,NA,NA,260.979150786116
"161",161,"SH16 EB off-ramp","SH16 WB on-ramp","T2&Truck","24/7",NA,NA,NA,"Centre",NA,54.2397819179922
"162",162,"832 Great South Road, Wiri","832 Great South Road, Wiri","Bus","24/7",NA,NA,NA,NA,NA,39.0997522599833
"163",163,"2 Kerrs Road, Wiri","1 Kerrs Road, Wiri","Bus","24/7",NA,NA,NA,NA,NA,38.4373526734444
"164",164,"226 Great South Road, Manurewa","228 Great South Road, Manurewa","Bus","24/7",NA,NA,NA,NA,NA,53.6159681815439
"165",165,"215 Great South Road, Manurewa","209 Great South Road, Manurewa","Bus","24/7",NA,NA,NA,NA,NA,61.2250244803595
"166",166,"321 Great South Road, Manurewa","317 Great South Road, Manurewa","Bus","24/7",NA,NA,NA,NA,NA,85.7986934077291
"167",168,"Onewa off-ramp","Onewa on-ramp","BusOnly","Monday to Friday",NA,NA,19,NA,15,456.49227585213
"168",169,"Start of northbound on-ramp","End of ramp","Bus/EV","24/7",NA,NA,NA,NA,NA,263.24123287668
"169",170,"150 m South of Shelley Beach Rd brdige","Fanshawe St Southbound Off-ramp","BusOnly","24/7",NA,NA,NA,NA,NA,827.826667828215
"170",171,"Penrose Rd bridge","Ellerslie Panmure Highway Northbound off-ramp","BusOnly","Monday to Friday",6.3,9.3,19,NA,15,404.697379938593
"171",172,"Mt Wellington northbound on-ramp","SEART northbound on-ramp","BusOnly","Monday to Friday",6.3,9.3,19,NA,15,983.277712018074
"172",173,"Great Norh Rd westbound on-ramp","Rosebank Rd westbound off-ramp","BusOnly","Monday to Friday",NA,NA,19,NA,15,1138.39728378724
"173",174,"Rosebank Rd westbound off-ramp","Patiki Rd Westbound on-ramp","BusOnly","Monday to Friday",NA,NA,19,NA,15,941.250917450229
"174",175,"Patiki Rd westbound on-ramp","End of Te Atatu Rd Westbound off- ramp","BusOnly","Monday to Friday",NA,NA,19,NA,15,907.5990206178
"175",176,"Te Atatu Rd westbound on-ramp ","Western side of Henderson Creek Bridge","BusOnly","24/7",NA,NA,NA,NA,NA,940.948217170087
"176",177,"200 m N of Henderson Creek Bridge","Te Atatu eastbound off-ramp","BusOnly","Monday to Friday ",6.3,9.3,NA,NA,NA,702.876997867127
"177",178,"End of Te Atatu  eastbound on-ramp","700 m before the Patiki Rd eastbound off-ramp","BusOnly","Monday to Friday",6.3,9.3,NA,NA,NA,575.048434586579
"178",179,"Patiki Rd eastbound off-ramp","Adjacent to southern end of Rosebank Rd eastbound on-ramp bridge","BusOnly","Monday to Friday",6.3,9.3,NA,NA,NA,1310.61440615617
