Road Name,Carriageway Start Name,Carriageway End Name,Location,Latest Count,Count Date,Peak Hour,Count Duration,ADT,Peak Traffic,Car (%),LCV (%),MCV (%),HCVI (%),HCVII (%),Bus (%),HCV Total (%),X Coordinate NZTM,Y Coordinate NZTM
EAST TAMAKI RD (EASTBOUND/OTARA) (SW),MOTORWAY OVERBRIDGE (2ND ABUTMENT),OTARA RD,984,Yes,823910400000,NA,NA,3884,NA,NA,NA,NA,NA,NA,NA,NA,1766336.7957,5907568.9415
EAST TAMAKI RD (EASTBOUND/OTARA) (SW),NEWBURY ST,BAIRDS RD,1574,Yes,908409600000,NA,NA,37361,NA,85,10,2,1,2,0,5,1766903.5849,5907658.0318
TE IRIRANGI DR (EAST BOUND/TAMAKI) (SE),ACCENT DR,DANNEMORA FOOTBRIDGE,4747,Yes,1187827200000,08:00,NA,13399,1412,96,1,2,1,0,0,3,1769614.2715,5908572.8241
TE IRIRANGI DR (WESTBOUND) (MANUKAU) (SW),LEILA PL,SHALIMAR PL,6656,Yes,1122076800000,08:00,NA,11418,1409,97,0,2,1,0,0,3,1768298.8402,5905282.7891
TE IRIRANGI DR (EASTBOUND) (MANUKAU) (SW),LEILA PL,OTHELLO DR,1087,Yes,1219881600000,08:00,NA,15585,1705,97,0,2,0,NA,0,2,1768438.3335,5905340.0456
TE IRIRANGI DR (EASTBOUND) (MANUKAU) (SW),OTHELLO DR,BOUNDARY RD (LHS),1187,Yes,1187827200000,08:00,NA,16521,1775,97,1,2,0,0,0,2,1768535.9562,5905320.6605
WHITFORD RD (BOTANY) (SE),UNION RD RAB,NICHOLAS RD,34,Yes,995414400000,NA,NA,7212,NA,NA,NA,NA,NA,NA,NA,NA,1772028.2611,5913740.7384
WHITFORD RD (BOTANY) (SE),NICHOLAS RD,EDGAR PEARCE PL,184,Yes,794707200000,NA,NA,4768,NA,85,10,2,1,2,0,5,1771925.559,5913628.1441
OPAHEKE RD (PAPAKURA),ONSLOW RD,SETTLEMENT RD,413,Yes,334972800000,11:00,NA,6079,798,86,8,3,2,1,0,6,1773015.6766,5895655.6713
OPAHEKE RD (PAPAKURA),SETTLEMENT RD,ALEXANDER ST,533,Yes,1035676800000,NA,NA,3653,NA,96,1,2,1,0,0,3,1773041.4879,5895540.0916
RANFURLY RD (MANUREWA) (SW),EVERLEA PL,WASTNEY RD,850,Yes,1203292800000,NA,NA,3610,NA,95,2,2,1,0,0,3,1771698.7301,5901996.424
STATE HIGHWAY 18 (UPPER HARBOUR DR),BUCKLEY AVE,UPPER HARBOUR BRIDGE (1ST ABUTMENT),1630,Yes,699753600000,NA,7D,14247,NA,NA,NA,NA,NA,NA,NA,NA,1748628.9415,5927628.8903
AVIEMORE DR,PAKURANGA RD (RHS),HIGHLAND PARK DR,0,Yes,772675200000,NA,NA,3745,NA,85,10,2,1,2,0,5,1769862.46,5914773.97
AVIEMORE DR,BRADBURY RD,CASCADES RD RAB,1766,Yes,1330041600000,1700,NA,20014,2040,97,1,1,1,0,0,2,1769978.0816,5913069.8581
HINEMOA ST,BRASSEY RD,RUGBY RD,973,Yes,1046995200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1754564.18,5923930.28
HINEMOA ST,MARIPOSA CRES (NORTH),ENTERPRISE ST,1620,Yes,323395200000,NA,NA,4000,NA,85,10,2,1,2,0,5,1754154.8105,5924410.6954
BEACH RD (EC BAYS),NEWHAVEN TCE,RAMSGATE TCE,3466,Yes,933984000000,NA,24H,NA,NA,NA,NA,NA,NA,NA,NA,NA,1756651.51,5932401.68
BEACH RD (EC BAYS),MONTGOMERY AVE,KNIGHTS RD,5697,Yes,1187395200000,NA,24H,6132,NA,85,10,2,1,2,0,5,1756131.6,5934040.91
ROULSTON ST,MASSEY AVE,ROULSTON LANE,263,Yes,1181779200000,10:00,NA,940,251,92,1,6,1,0,0,7,1769096.4224,5881042.8292
MURPHYS RD,THOMAS RD,MURPHYS PARK DR,1013,Yes,1316390400000,800,NA,9194,1228,94,1,2,1,2,0,5,1770911.0591,5905277.746
MURPHYS RD,HORSEFIELDS DRV,KERRYKEEL DR,2339,Yes,1267833600000,800,7D,9277,1208,95,2,2,1,0,0,3,1771219.375,5906569.7151
MURPHYS RD,WIDENING (PP RHS),ORMISTON RD (LHS),2749,Yes,1277424000000,800,7D,8658,1117,96,1,2,1,0,0,3,1771319.3793,5906969.4627
MURPHYS RD,FLAT BUSH SCHOOL RD,GOLDEN POND RD,2009,Yes,1081987200000,NA,NA,4915,NA,NA,NA,NA,NA,NA,NA,NA,1771143.2795,5906248.3399
MURPHYS RD,GOLDEN POND RD,END WIDENING (PP LHS),2029,Yes,1096588800000,17:00,NA,2431,339,94,2,3,1,0,0,4,1771147.5682,5906267.5618
MURPHYS RD,TIMMER RD,GERANIUM AVE,2549,Yes,1189036800000,07:00,NA,9343,1260,95,1,2,1,1,0,4,1771268.4212,5906770.4576
MURPHYS RD,ORMISTON RD (LHS),SALFORD CRES,2808,Yes,1123459200000,07:00,NA,7923,1125,93,2,2,2,1,0,5,1771338.5234,5907023.7979
MICHAEL JONES DR,FRANK BUNCE GR,WALTER LITTLE WAY,753,Yes,1078444800000,NA,NA,1722,NA,NA,NA,NA,NA,NA,NA,NA,1769447.4333,5906733.1268
BULLENS RD,PAPAKURA-CLEVEDON RD (#807),END (GATE),187,Yes,682300800000,22:00,NA,67,25,81,9,3,4,3,0,10,1776053.4502,5898862.7158
CHURCH RD (ARDMORE),PAPAKURA-CLEVEDON RD,END,102,Yes,903830400000,10:00,NA,41,15,81,9,3,4,3,0,10,1777746.3413,5899253.2156
HEARD RD,LAUREN GR,KAIPARA RD,351,Yes,1220832000000,NA,NA,964,NA,NA,NA,NA,NA,NA,NA,NA,1775814.3447,5897752.0311
HAMLIN RD (ARDMORE),VILLAGE WAY,HARVARD LANE,1676,Yes,1109635200000,NA,NA,1576,NA,96,1,2,0,0,NA,2,1775081.4842,5899159.8336
HAMLIN RD (ARDMORE),HARVARD LANE,PAPAKURA-CLEVEDON RD,1846,Yes,1109635200000,NA,NA,1201,NA,95,2,2,0,0,NA,2,1775200.3666,5899046.9327
PETERSONS RD,PAPAKURA-CLEVEDON RD,END,80,Yes,1071273600000,NA,NA,190,NA,93,2,4,1,0,0,5,1776971.3892,5898781.8259
CLEVEDON-KAWAKAWA RD,CLEVEDON WHARF BRIDGE (1ST ABUT),CLEVEDON WHARF BRIDGE (2ND ABUT),571,Yes,864518400000,NA,NA,4361,NA,NA,NA,NA,NA,NA,NA,NA,1781825.1149,5904375.9791
CLEVEDON-KAWAKAWA RD,MCNICOL RD,HOLDENS RD,961,Yes,807580800000,NA,NA,2219,NA,78,10,4,4,4,0,12,1782116.6936,5904604.0703
CLEVEDON-KAWAKAWA RD,EYRES RD,NESS VALLEY RD (POWERPOLE RHS),4760,Yes,810259200000,NA,NA,2219,NA,81,9,3,4,3,0,10,1785056.7484,5905643.5606
CLEVEDON-KAWAKAWA RD,NIMONS BRIDGE (1ST ABUTMENT),KAWAKAWA BAY COAST RD,15677,Yes,864518400000,NA,NA,2448,NA,NA,NA,NA,NA,NA,NA,NA,1792860.0594,5908632.2899
CREIGHTONS RD (CLEVEDON),PAPAKURA-CLEVEDON RD,TOURIST RD,0,Yes,728092800000,NA,NA,365,NA,NA,NA,NA,NA,NA,NA,NA,1780023.4523,5900869.7569
MONUMENT RD,PAPAKURA-CLEVEDON RD,HYDE RD,0,Yes,857174400000,NA,NA,807,NA,NA,NA,NA,NA,NA,NA,NA,1781205.909,5903763.6072
NORTH RD,SPEED DERESTRICTION,THORPES BRIDGE (1ST ABUTMENT),694,Yes,1194048000000,15:00,NA,1790,251,91,4,4,1,0,0,5,1781686.8255,5904743.4282
NORTH RD,DUDER REGIONAL PARK ACCESS,MARAETAI COAST RD (SUMP LHS),10492,Yes,1323043200000,1500,NA,1216,354,94,3,3,0,0,0,3,1784296.271,5913676.2324
TOURIST RD,MONUMENT RD,MCNICOL RD,3053,Yes,1267660800000,1600,7D,563,76,81,2,3,5,9,0,17,1782859.3472,5901887.666
BUCKLEY AVE,WAIAROHIA PL,START OF 3 LANES,300,Yes,1225152000000,NA,7D,1294,NA,NA,NA,NA,NA,NA,NA,NA,1747645.0893,5926813.5113
PAKURANGA RD (EAST BOUND),BUCKLANDS BEACH RD,HUTCHINSONS RD,4942,Yes,899337600000,NA,NA,25169,NA,NA,NA,NA,NA,NA,NA,NA,1769862.44,5914773.9
PAKURANGA RD (EAST BOUND),HUTCHINSONS RD,ANGELO AVE,5312,Yes,1252800000000,800,NA,5673,731,97,1,1,0,NA,0,1,1770215.5138,5914657.157
HILL RD (MANUREWA),GREAT SOUTH RD,NEWHOOK LANE,50,Yes,996883200000,NA,NA,6171,NA,NA,NA,NA,NA,NA,NA,NA,1768677.5434,5901140.9748
HILL RD (MANUREWA),SCENIC DR RAB,DENNIS AVE,732,Yes,716515200000,16:00,NA,8473,826,85,10,2,1,2,0,5,1769131.9479,5901533.9416
HILL RD (MANUREWA),GRANDE VUE RD,MOTORWAY OVERBRIDGE (1ST ABUTMENT),1164,Yes,974332800000,NA,NA,10990,NA,NA,NA,NA,NA,NA,NA,NA,1769482.5274,5901766.03
HILL RD (MANUREWA),WHITBOURNE HGTS,NORM PELLOW DR,1403,Yes,1022112000000,NA,NA,13364,NA,NA,NA,NA,NA,NA,NA,NA,1769706.5738,5901855.9388
HILL RD (MANUREWA),MURRAYFIELD LANE,RICHARD HALSE DR,2408,Yes,1310947200000,800,NA,4330,559,97,1,2,0,0,0,2,1770579.7509,5902309.5889
HILL RD (MANUREWA),WAIRERE RD,LAMIA PL,2583,Yes,987638400000,NA,NA,1365,NA,NA,NA,NA,NA,NA,NA,NA,1770712.9805,5902422.4481
CLAUDE RD (MANUREWA),HALVER RD,ALFRISTON RD,458,Yes,1037491200000,NA,NA,8205,NA,NA,NA,NA,NA,NA,NA,NA,1769337.6884,5901144.3971
FLEMING ST (MANUREWA),HYDE ST,MCANNALLEY ST,142,Yes,1106870400000,08:00,NA,1430,145,98,2,0,0,0,0,0,1769385.07,5900881.7215
SCOTTS RD (MANUREWA),ELLEN ST,MCANNALLEY ST,320,Yes,1190419200000,08:00,NA,1830,314,97,1,2,0,0,0,2,1769794.2329,5900858.7228
SCOTTS RD (MANUREWA),MCANNALLEY ST,MYERS RD (FIRE HYDRANT),523,Yes,1065312000000,NA,NA,1162,NA,NA,NA,NA,NA,NA,NA,NA,1769864.0414,5900671.1988
PORCHESTER RD (MANUREWA),SHERIFF PL,HYPERION DR,3982,Yes,576028800000,17:00,NA,4210,507,78,10,4,4,4,0,12,1771201.1034,5900427.7749
PORCHESTER RD (MANUREWA),HYPERION DR,TAIPAN PL,4262,Yes,1203292800000,NA,NA,10294,NA,96,1,2,1,0,0,3,1771103.8406,5900691.8716
MAGIC WAY,IRONSTONE PL,RUSHBURY PL,366,Yes,1114560000000,08:00,NA,1325,235,98,1,1,0,0,0,1,1770367.7455,5901065.0267
MAGIC WAY,RUSHBURY PL,RIVERTON DR RAB,586,Yes,1124582400000,08:00,NA,3576,427,98,1,1,0,0,0,1,1770579.3214,5901031.579
SARALEE DR,ALFRISTON RD,MATTALIE PL,40,Yes,1032220800000,NA,NA,408,NA,NA,NA,NA,NA,NA,NA,NA,1770324.7253,5901470.1765
SENATOR DR,ALFRISTON RD,ZOE CRT,39,Yes,1032134400000,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,1770535.8825,5901558.152
ORAMS RD,ROTHERY RD,LYNMORE DR,393,Yes,1058054400000,NA,NA,9806,NA,NA,NA,NA,NA,NA,NA,NA,1768551.5971,5902576.182
ROTHERY RD,ORAMS RD,TOMLINSON ST,150,Yes,1055289600000,NA,NA,837,NA,NA,NA,NA,NA,NA,NA,NA,1768588.7221,5902429.8141
DIORELLA DR,SIKKIM CRES,ALMAY PL,131,Yes,1280966400000,15:00,7D,4290,481,96,1,2,1,0,0,3,1768116.7856,5905076.3937
DIORELLA DR,COURANT PL,ULTIMA PL,425,Yes,1307404800000,1700,NA,2869,304,95,1,3,1,0,0,4,1768173.5337,5904800.3718
TARNICA RD,BOTANY RD (LHS),BOWSCALE PL,58,Yes,1029283200000,NA,NA,3580,NA,NA,NA,NA,NA,NA,NA,NA,1770446.5206,5911607.8405
TARNICA RD,ARRATHORNE PL,ASPATRIA PL,211,Yes,1316131200000,800,NA,2960,343,98,1,1,0,0,0,1,1770598.0014,5911615.2274
SANTA CRUZ DR,SANTA ANNA DR,ANAHEIM BLVD RAB,93,Yes,1029196800000,NA,NA,911,NA,NA,NA,NA,NA,NA,NA,NA,1771710.9817,5912023.4309
WATERLEA AVE,AMBURY RD,ANARAHI PL,40,Yes,1033689600000,NA,NA,486,NA,NA,NA,NA,NA,NA,NA,NA,1757745.9528,5909759.0351
THOMAS RD (MANUKAU HEIGHTS),CHAPEL RD,GLENLEA PL,50,Yes,1005350400000,NA,NA,806,NA,NA,NA,NA,NA,NA,NA,NA,1769333.218,5905540.52
KILKENNY DR,CHAPEL RD (NORTH),TRALEE TCE,50,Yes,1140480000000,08:00,NA,5063,766,96,1,3,0,0,0,3,1771125.8623,5911720.9656
KILKENNY DR,TRALEE TCE,ANNALONG RD,140,Yes,1211414400000,08:00,7D,4232,678,95,1,3,1,0,0,4,1771180.1088,5911652.5922
KILKENNY DR,ANNALONG RD,WESTERHAM DR,235,Yes,1272412800000,800,7D,4073,609,97,1,2,0,0,0,2,1771206.8859,5911563.2035
KILKENNY DR,KEPPOCH CRT,ANNAGARY RISE,484,Yes,1124668800000,08:00,NA,5203,858,97,1,2,0,0,0,2,1771219.4163,5911317.9849
KILKENNY DR,POINT VIEW LINK,EAGLEMONT DR,2294,Yes,1124668800000,17:00,NA,6019,818,95,1,3,1,0,0,4,1770554.5994,5909729.5736
KILKENNY DR,EAGLEMONT DR,MIDDLEFIELD DR,2349,Yes,1140480000000,08:00,NA,8163,1034,96,1,2,1,0,0,3,1770499.776,5909730.6468
REDCASTLE DR,BELCOO CRES,ANNAMOE PL,387,Yes,1024963200000,NA,NA,1032,NA,NA,NA,NA,NA,NA,NA,NA,1769469.3956,5909543.4765
REDCASTLE DR,ANNAMOE PL,DERG PL,472,Yes,1172275200000,18:00,NA,1143,126,96,1,1,2,0,0,3,1769432.7679,5909616.2176
REDCASTLE DR,SRAH PL,FEENY CRES (NORTH),1085,Yes,1024617600000,NA,NA,621,NA,NA,NA,NA,NA,NA,NA,NA,1769787.9701,5909647.9774
REDCASTLE DR,FEENY CRES (NORTH),FEENY CRES (SOUTH),1136,Yes,1172275200000,15:00,NA,797,95,99,0,1,0,0,0,1,1769775.7718,5909598.3971
BRINLACK DR,TE IRIRANGI DR (START ISLAND RHS),ARMOY DR RAB,114,Yes,1081987200000,NA,NA,436,NA,NA,NA,NA,NA,NA,NA,NA,1770159.8328,5910233.2606
SIKKIM CRES,DIORELLA DR (SOUTH),JUVENA PL,149,Yes,1032307200000,NA,NA,507,NA,NA,NA,NA,NA,NA,NA,NA,1768202.9041,5904529.0912
ISRAEL AVE,BOUNDARY RD,RIMINI PL,50,Yes,1079136000000,NA,NA,2417,NA,99,0,1,0,0,0,1,1767929.6094,5905693.5877
JOHN GILL RD,TRIDENT PL,CYCLADES PL,90,Yes,1062288000000,NA,NA,1022,NA,98,2,0,0,0,0,0,1773473.0933,5913486.7716
JOHN GILL RD,CLIPPER PL,ADVENE RD,570,Yes,1207785600000,08:00,NA,698,149,99,0,1,0,0,0,1,1773445.435,5913939.734
MOYRUS CRES,KILKENNY DR (NORTH),MOYCULLIEN LANE,55,Yes,1315353600000,1500,NA,2263,262,97,1,1,1,0,0,2,1770986.0904,5910484.0383
MOYRUS CRES,MOHILL PL,MULLAGH PL,124,Yes,1063670400000,NA,NA,1636,NA,NA,NA,NA,NA,NA,NA,NA,1771053.1043,5910492.2336
MOYRUS CRES,MULLAGH PL,MONIVEA PL,184,Yes,1029283200000,NA,NA,1198,NA,NA,NA,NA,NA,NA,NA,NA,1771104.9378,5910468.3273
SANTA ANA DR,SAN JOSE RISE,SANTA CRUZ DR,180,Yes,1141689600000,08:00,NA,1571,164,99,0,1,0,0,0,1,1771615.765,5912072.5095
SANTA ANA DR,MALDON CRES,WESTERHAM DR,840,Yes,1125964800000,08:00,NA,1270,178,99,0,1,0,0,0,1,1771432.4154,5911463.2
ABERFELDY AVE,PAKURANGA RD,BALLATER PL,0,Yes,762134400000,NA,NA,2558,NA,NA,NA,NA,NA,NA,NA,NA,1770117.9542,5914667.6881
ABERFELDY AVE,GLENSHEE PL,STRAUN PL,373,Yes,1211328000000,08:00,7D,2198,297,98,1,1,0,0,0,1,1770013.5906,5914284.2207
ABERFELDY AVE,PALMCREST GR,DALWHINNIE PDE,508,Yes,1297382400000,1700,NA,1789,187,97,1,2,0,0,0,2,1769973.714,5914155.885
ABERFELDY AVE,ESKE PL,AVIEMORE DR,963,Yes,1244851200000,NA,7D,1481,NA,97,0,2,1,0,0,3,1769818.5684,5913768.1462
BOWEN ST (WAIUKU),QUEEN ST,MARTYN ST RAB,46,Yes,1181779200000,15:00,NA,3828,459,96,1,2,1,0,0,3,1753435.6292,5876066.6428
MARTYN ST,BOWEN ST RAB,COURT ST,34,Yes,1222300800000,15:00,NA,3282,387,96,1,2,1,0,0,3,1753314.1578,5875895.5053
SMALES RD,SIR WILLIAM AVE,SNAVE PL,288,Yes,907718400000,NA,NA,2968,NA,NA,NA,NA,NA,NA,NA,NA,1768913.22,5909732.59
SMALES RD,SNAVE PL,KELVIN HART DR,960,Yes,860457600000,NA,NA,2942,NA,NA,NA,NA,NA,NA,NA,NA,1769553.9257,5909889.6266
CROMDALE AVE,PAKURANGA RD,BENYGLOE PL,50,Yes,995414400000,NA,NA,998,NA,NA,NA,NA,NA,NA,NA,NA,1770397.9275,5914595.3824
CROMDALE AVE,BENYGLOE PL,CAIRNGORM PL,161,Yes,1051574400000,NA,NA,1137,NA,NA,NA,NA,NA,NA,NA,NA,1770389.9999,5914485.2065
HIGHLAND PARK DR (EASTBOUND),AVIEMORE DR,TOMINTOUL PL,10,Yes,830649600000,NA,NA,6884,NA,NA,NA,NA,NA,NA,NA,NA,1769816.3685,5914586.7962
HIGHLAND PARK DR (EASTBOUND),ABERFELDY AVE RAB,CROMDALE AVE,427,Yes,1150675200000,17:00,NA,5339,597,99,1,0,0,0,0,0,1770185.6276,5914412.4421
REDCREST AVE,FAIRDALE AVE,GAME PL,300,Yes,1153958400000,NA,NA,1356,NA,94,1,5,0,0,0,5,1775356.2126,5895929.7075
REDCREST AVE,BALMERINO AVE,INCA PL,572,Yes,1055462400000,10:00,NA,638,73,89,4,5,2,0,0,7,1775333.9326,5895686.1014
GRACE JAMES RD,VALLEY RD,ABBY CL,70,Yes,1329350400000,1700,NA,729,95,94,3,2,1,0,0,3,1769974.3886,5882804.2934
VALLEY RD (PUKEKOHE),EAST ST,RIDGEWAY RD,35,Yes,1213920000000,15:00,NA,2227,249,97,1,2,0,0,0,2,1770098.9507,5881551.7008
VALLEY RD (PUKEKOHE),RIDGEWAY RD,AVONLEA LANE,250,Yes,1292544000000,800,NA,1722,241,97,1,1,1,0,0,2,1770061.1086,5881762.5373
VALLEY RD (PUKEKOHE),MAX SHORT DR,TWOMEY DR,1100,Yes,1261267200000,1600,7D,2750,307,95,2,2,1,0,0,3,1770121.4156,5882560.3367
MIDDLEFIELD DR,DUNLOY PL,GILFORD PL,341,Yes,1123545600000,08:00,NA,4600,861,97,1,2,0,0,0,2,1770464.7701,5909397.2397
MIDDLEFIELD DR,RIALTO CRT RAB,WILLOWBANK CL,530,Yes,1252281600000,800,7D,5136,862,98,1,1,0,0,0,1,1770428.0156,5909194.0723
GILLS RD (PAKURANGA),BLEAKHOUSE RD RAB,HUTCHINSONS RD (AT TEE),97,Yes,1094601600000,8:00,NA,6123,653,99,1,0,0,0,0,0,1771037.0371,5915613.2686
GILLS RD (PAKURANGA),HUTCHINSONS RD (AT TEE),MARENDELLAS DR,247,Yes,1330560000000,800,NA,4054,545,98,1,1,0,0,0,1,1770901.5744,5915598.3901
GILLS RD (PAKURANGA),WYCHERLEY DR,BAIN PL,707,Yes,1094601600000,10:00,NA,5076,363,99,1,0,0,0,0,0,1770443.0915,5915593.1519
GILLS RD (PAKURANGA),BAIN PL,MINARET DR,837,Yes,1244851200000,NA,7D,4798,NA,98,1,1,0,0,0,1,1770311.9188,5915594.8646
BAIRDS RD,GREAT SOUTH RD,WYMONDLEY RD,74,Yes,1047859200000,NA,NA,22637,NA,NA,NA,NA,NA,NA,NA,NA,1765020.2804,5908257.5696
BAIRDS RD,MOTORWAY OVERBRIDGE (2ND ABUTMENT),HELLABYS RD,887,Yes,860457600000,NA,NA,9929,NA,NA,NA,NA,NA,NA,NA,NA,1765771.5177,5908274.6222
BAIRDS RD,ASHTON AVE,WAIPAPA CRES,1132,Yes,815356800000,NA,NA,7735,NA,85,10,2,1,2,0,5,1766010.5334,5908252.9606
BAIRDS RD,ALEXANDER CRES,NEWBURY ST,1935,Yes,908409600000,NA,NA,22244,NA,NA,NA,NA,NA,NA,NA,NA,1766753.3894,5908004.8132
BAIRDS RD,KELPIE LANE,HAYMAN ST,2044,Yes,976492800000,NA,NA,10345,NA,85,10,2,1,2,0,5,1766831.9417,5907929.4372
BAIRDS RD,THURSO LANE,EAST TAMAKI RD (LHS),2266,Yes,824083200000,NA,NA,1283,NA,NA,NA,NA,NA,NA,NA,NA,1766907.5052,5907731.8969
BAIRDS RD,EAST TAMAKI RD (LHS),COBHAM CRES,2363,Yes,824515200000,NA,NA,10319,NA,NA,NA,NA,NA,NA,NA,NA,1766903.6937,5907635.2759
BAIRDS RD,COBHAM CRES,JUKES PL,2484,Yes,1140912000000,08:00,NA,10838,903,97,1,1,1,0,0,2,1766898.9266,5907514.7491
BAIRDS RD,INGRAM CRES (NORTH),INGRAM CRES (SOUTH),3813,Yes,1251763200000,800,7D,5724,585,98,0,2,0,0,0,2,1767624.377,5906494.3262
BAIRDS RD,INGRAM CRES (SOUTH),PRESTON RD,3903,Yes,1219881600000,08:00,NA,5422,528,98,0,2,0,0,0,2,1767689.3346,5906432.1403
ALEXANDER CRES,FRANKLYNE RD,CLYDE RD,714,Yes,1032912000000,NA,NA,2127,NA,NA,NA,NA,NA,NA,NA,NA,1767001.7404,5908653.1302
ALEXANDER CRES,FRANKLYNE RD,OTARA RD,1053,Yes,1337212800000,800,NA,1610,221,95,0,4,1,0,0,5,1766830.7653,5908899.8696
ASHTON AVE,"NATALIE PL",EDWARD AVE,276,Yes,774921600000,NA,NA,1195,NA,86,8,3,2,1,0,6,1766197.88,5907804.06
CLAYTON AVE,BAIRDS RD,EVERITT RD,40,Yes,1045008000000,NA,NA,2923,NA,NA,NA,NA,NA,NA,NA,NA,1766870.3494,5907357.489
COBHAM CRES (OTARA),BAIRDS RD (NORTH),NOLA CRES,50,Yes,996105600000,NA,NA,1688,NA,NA,NA,NA,NA,NA,NA,NA,1766949.6194,5907537.1233
COBHAM CRES (OTARA),VILMA PL,CROWN CRES,520,Yes,1118102400000,13:00,NA,2462,368,98,1,1,0,0,0,1,1767370.6649,5907422.5943
COBHAM CRES (OTARA),BOND ST,TINDALL CRES,695,Yes,1142294400000,08:00,NA,1830,193,98,0,1,0,NA,0,1,1767342.9932,5907252.4064
EVERITT RD,BAIRDS RD,COOPER CRES,90,Yes,976492800000,NA,NA,1275,NA,NA,NA,NA,NA,NA,NA,NA,1767192.1241,5906965.2664
EVERITT RD,COOPER CRES,WHITLEY CRES (SOUTH),350,Yes,1045008000000,NA,NA,1297,NA,NA,NA,NA,NA,NA,NA,NA,1766999.0541,5907130.3845
HAYMAN ST,BAIRDS RD,LOVEGROVE CRES,59,Yes,1047859200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1766942.7228,5907882.3909
NEWBURY ST,EAST TAMAKI RD,WATFORD ST (LIGHTPOLE RHS),121,Yes,1065312000000,NA,NA,2068,NA,NA,NA,NA,NA,NA,NA,NA,1766622.5241,5907758.031
O'CONNOR ST,BAIRDS RD,VICKERMAN ST,50,Yes,1006300800000,NA,NA,1178,NA,NA,NA,NA,NA,NA,NA,NA,1767515.4598,5906529.3581
O'CONNOR ST,SANDBROOK AVE,KURT LANE,203,Yes,1027641600000,NA,NA,1209,NA,NA,NA,NA,NA,NA,NA,NA,1767415.6726,5906416.3849
PRESTON RD,GERALDINE RD,FISHER CRES,462,Yes,1219881600000,16:00,NA,10760,1143,94,0,4,1,1,0,6,1768061.348,5907408.2509
PRESTON RD,FERGUSON RD,DAWSON RD,1006,Yes,890697600000,NA,NA,15029,NA,NA,NA,NA,NA,NA,NA,NA,1767930.9092,5906883.6012
PRESTON RD,AWATERE ST,WAIMATE ST,2100,Yes,1251244800000,08:00,7D,14643,1372,94,1,2,2,1,0,5,1767667.3074,5905822.6502
SANDBROOK AVE,HERALD PL,O'CONNOR ST,319,Yes,1266019200000,800,7D,991,96,99,0,1,0,0,0,1,1767373.9799,5906488.6194
WYMONDLEY RD,BAIRDS RD,LARSEN ST,48,Yes,984009600000,NA,NA,4047,NA,NA,NA,NA,NA,NA,NA,NA,1765570.8745,5908233.5244
WYMONDLEY RD,STERLING ST,FIRTH CRES,783,Yes,1032220800000,NA,NA,939,NA,NA,NA,NA,NA,NA,NA,NA,1765317.6843,5908861.2439
EDGEWATER DR (PAKURANGA),MANGOS PL,RIVERINA AVE,462,Yes,984009600000,NA,NA,904,NA,NA,NA,NA,NA,NA,NA,NA,1766824.5665,5912092.547
EDGEWATER DR (PAKURANGA),SUSANNE PL,TI RAKAU DR (EAST),1259,Yes,704592000000,NA,NA,828,NA,86,8,3,2,1,0,6,1767339.776,5911800.9061
TI RAKAU DR (EASTBOUND),PAKURANGA RD (LHS),ALYESBURY ST,50,Yes,1002067200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1766540.2178,5913236.5946
TI RAKAU DR (EASTBOUND),REEVES RD,TIRAUMEA DR,377,Yes,657417600000,NA,NA,6432,NA,NA,NA,NA,NA,NA,NA,NA,1766656.0919,5912937.005
TI RAKAU DR (EASTBOUND),MATTSON RD,ROSEBURN AVE,868,Yes,705024000000,NA,NA,10068,NA,NA,NA,NA,NA,NA,NA,NA,1766961.8864,5912557.815
TI RAKAU DR (EASTBOUND),MARRIOT RD,EDGEWATER PL,1142,Yes,823219200000,NA,NA,23111,NA,NA,NA,NA,NA,NA,NA,NA,1767164.5474,5912373.7654
TI RAKAU DR (EASTBOUND),GOSSAMER DR,BRIDGE (1ST ABUTMENT),2065,Yes,892771200000,NA,NA,38347,NA,85,10,2,1,2,0,5,1767926.3896,5911891.244
TI RAKAU DR (EASTBOUND),BRIDGE (2ND ABUTMENT),TRUGOOD DR,2504,Yes,707616000000,NA,NA,11437,NA,NA,NA,NA,NA,NA,NA,NA,1768331.1367,5911727.3481
TI RAKAU DR (EASTBOUND),TRUGOOD DR,BURSWOOD DR,2717,Yes,1023321600000,NA,NA,19434,NA,88,9,1,1,NA,0,2,1768534.8718,5911665.0556
TI RAKAU DR (EASTBOUND),TORRENS RD,HARRIS RD,3145,Yes,1212105600000,17:00,7D,NA,NA,NA,NA,NA,NA,NA,NA,NA,1768951.5136,5911565.3558
TI RAKAU DR (EASTBOUND),HARRIS RD,BURSWOOD DR,3239,Yes,828316800000,NA,NA,3503,NA,NA,NA,NA,NA,NA,NA,NA,1769042.7471,5911542.3457
TI RAKAU DR (EASTBOUND),BURSWOOD DR,GREENMOUNT DR,3606,Yes,879811200000,NA,NA,29125,NA,NA,NA,NA,NA,NA,NA,NA,1769395.9043,5911442.532
