Road Name,Carriageway Start Name,Carriageway End Name,Location,Latest Count,Count Date,Peak Hour,Count Duration,ADT,Peak Traffic,Car (%),LCV (%),MCV (%),HCVI (%),HCVII (%),Bus (%),HCV Total (%),X Coordinate NZTM,Y Coordinate NZTM
AWATERE ST,PRESTON RD,CLUTHA CRES (SOUTH),168,Yes,803692800000,NA,NA,395,NA,86,8,3,2,1,0,6,1767831.9853,5905824.5297
AWATERE ST,CLUTHA CRES (NORTH),FLAT BUSH RD,479,Yes,1055289600000,NA,NA,618,NA,NA,NA,NA,NA,NA,NA,NA,1767899.9667,5906110.9292
CAPSTICK RD,CIVIL PL,SANDRA AVE,226,Yes,1079136000000,NA,NA,1568,NA,NA,NA,NA,NA,NA,NA,NA,1767819.2614,5907353.3315
FLAT BUSH RD,RAPSON RD,EMERSON RD,564,Yes,860457600000,NA,NA,4067,NA,NA,NA,NA,NA,NA,NA,NA,1768005.5562,5906146.1943
FLAT BUSH RD,EMERSON RD,PRESTON RD,718,Yes,1225497600000,08:00,7D,3841,437,96,1,2,1,0,0,3,1767851.7837,5906154.4567
KUDU RD,BIRCH PL,HANNAH RD,199,Yes,1047081600000,NA,NA,819,NA,NA,NA,NA,NA,NA,NA,NA,1767702.1187,5906771.0384
RAPSON RD (OTARA),PRESTON RD,COLLETT RD,50,Yes,1323820800000,1700,NA,2025,293,46,0,54,0,0,0,54,1767867.4049,5906414.1972
OTHELLO DR,SERRANO PL,ISRAEL AVE,397,Yes,1276819200000,800,7D,3815,494,99,0,1,0,0,0,1,1768533.1025,5905721.5991
SANDRINE AVE,TE IRIRANGI DR (KERBLINE),ULAY PL,39,Yes,1005350400000,NA,NA,1574,NA,NA,NA,NA,NA,NA,NA,NA,1768138.9887,5905275.954
SANDRINE AVE,ULAY PL,COTY PL,148,Yes,1047081600000,NA,NA,1538,NA,NA,NA,NA,NA,NA,NA,NA,1768087.6303,5905375.0242
SANDRINE AVE,COTY PL,SENA PL,188,Yes,1331510400000,800,NA,1339,167,99,0,1,0,0,0,1,1768066.0417,5905408.9433
SANDRINE AVE,SENA PL,BOUNDARY RD,296,Yes,710726400000,NA,NA,2585,NA,86,8,3,2,1,0,6,1768035.16,5905506.5197
KOLMAR RD,ERIC BAKER PL,BISLEY ST,57,Yes,691632000000,NA,NA,8104,NA,NA,NA,NA,NA,NA,NA,NA,1765570.4856,5906866.318
KOLMAR RD,OAKLAND AVE,DRYDEN AVE,601,Yes,818726400000,NA,NA,10583,NA,NA,NA,NA,NA,NA,NA,NA,1765265.8831,5906452.4672
KOLMAR RD,GUIDE PL,MARGAN AVE,703,Yes,1074556800000,NA,NA,10293,NA,96,1,2,1,0,0,3,1765240.792,5906354.0167
KOLMAR RD,MARGAN AVE,OMAGH AVE RAB,727,Yes,894153600000,NA,NA,11878,NA,NA,NA,NA,NA,NA,NA,NA,1765235.0526,5906330.5546
KOLMAR RD,DUNNOTAR RD,ST GEORGE ST,1300,Yes,864518400000,NA,NA,11220,NA,NA,NA,NA,NA,NA,NA,NA,1765040.7357,5905793.9703
