OBJECTID,IDENTIFIER,ROADNAME,STATUS,CONSTRUCTIONYEAR,Council_Board,TYPEOFFACILITY,Shape__Length
385,1119,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,148.762280129093
386,1122,Victoria Park,Existing,NA,Waitemata,Off-road shared path,122.443553477693
387,1122,Victoria Park,Existing,NA,Waitemata,Off-road shared path,609.074196817578
388,1148,Takapuna Landing,Existing,2008,Devonport-Takapuna,Off-road shared path,290.840958852178
389,1149,Corban Ave,Existing,NA,Upper Harbour,Off-road shared path,349.713213247955
392,1168,Flat Bush Cycle Route,Existing,NA,Howick,Off-road shared path,938.156005820435
397,1171,Off road cycle route,Existing,NA,Howick,Off-road shared path,482.012410683196
398,1172,Off road cycle route,Existing,NA,Howick,Off-road shared path,270.75857295384
399,1173,Off road cycle route,Existing,NA,Howick,Off-road shared path,147.733340612885
400,1175,Off road cycle route,Existing,NA,Howick,Off-road shared path,442.473701658866
407,1179,Flat Bush Cycle Route,Existing,NA,Howick,Off-road shared path,525.9398557016
409,1181,Off road cycle route,Existing,NA,Otara - Papatoetoe,Off-road shared path,3669.99176671909
411,1210,Off road cycle route,Existing,NA,NA,Off-road shared path,3543.96387934946
418,1234,Off road cycle route,Existing,NA,Manurewa,Off-road shared path,2028.38703410157
420,1239,Lazurite Dr,Existing,NA,Henderson - Massey,Off-road shared path,183.013830503236
421,1247,Off road cycle route,Existing,NA,Howick,Off-road shared path,649.382431757115
423,1249,Dominion Road alternative,Existing,NA,Puketapapa,Off-road shared path,97.0020960642202
424,1249,Dominion Road alternative,Existing,NA,Puketapapa,Off-road shared path,115.679379736364
437,1275,Viaduct Harbour,Existing,NA,Waitemata,Off-road shared path,268.311421250331
438,1275,Viaduct Harbour,Existing,NA,Waitemata,Off-road shared path,840.02243237828
440,1279,Eastern Waterfront City Connection,Existing,NA,Waitemata,Off-road shared path,390.985441891722
441,1279,Eastern Waterfront City Connection,Existing,NA,Waitemata,Off-road shared path,958.433830771436
442,1279,Eastern Waterfront City Connection,Existing,NA,Waitemata,Off-road shared path,24.0136238011748
449,1286,Mascot Avenue,Existing,NA,Mangere - Otahuhu,Off-road shared path,49.3829552846382
453,1293,Te Whau Pathway,Existing,2015,Whau,Off-road shared path,304.474941658402
454,1293,Te Whau Pathway,Existing,NA,Whau,Off-road shared path,93.4537022988288
455,1297,Off road cycle route,Existing,2016,Maungakiekie – Tamaki,Off-road shared path,1666.04365948471
456,1298,Off road cycleway ,Existing,NA,Upper Harbour,Off-road shared path,721.472989875116
457,1298,Off road cycleway ,Existing,NA,Upper Harbour,Off-road shared path,822.843025917975
458,1298,Off road cycleway ,Existing,NA,Upper Harbour,Off-road shared path,215.149151178619
465,1319,Shared path-Steve,Existing,NA,Papakura,Off-road shared path,476.803930271851
467,1325,Battalion Drive,Existing,NA,Papakura,Off-road shared path,534.238941006699
468,1326,Battalion Drive,Existing,NA,Papakura,Off-road shared path,178.855914927016
477,1337,Shared path,Existing,NA,Mangere - Otahuhu,Off-road shared path,576.43386733868
478,1337,Shared path,Existing,NA,Mangere - Otahuhu,Off-road shared path,70.5254980847232
479,1338,Harbourside Drive,Existing,NA,Papakura,Off-road shared path,425.3020251175
480,1339,Shared path,Existing,NA,Papakura,Off-road shared path,799.800609248726
485,1349,Tirohanga Whānui,Existing,2019,Upper Harbour,Off-road shared path,337.67011140577
488,1352,Bankside Road,Existing,NA,Hibiscus and Bays,Off-road shared path,174.752541609628
492,1360,Manuel Road,Existing,NA,Hibiscus and Bays,Off-road shared path,138.400865838487
493,1361,Stella Maris Lane,Existing,NA,Hibiscus and Bays,Off-road shared path,632.514162954936
499,1363,Windlass Street,Existing,NA,Hibiscus and Bays,Off-road shared path,452.892658989982
501,1364,Ashley Avenue,Existing,NA,Hibiscus and Bays,Off-road shared path,14.5329628178214
504,1365,Ashley Avenue,Existing,NA,Hibiscus and Bays,Off-road shared path,626.182906176916
505,1366,Glenver Ridge Road,Existing,NA,Hibiscus and Bays,Off-road shared path,528.725281769219
509,1368,Off-road shared path,Existing,NA,Rodney,Off-road shared path,683.729765089319
510,1373,George Bolt Memorial Drive,Existing,NA,Mangere - Otahuhu,Off-road shared path,2087.55735120359
512,1376,Shared path,Existing,NA,Kaipataki,Off-road shared path,383.203701218957
513,1377,Taharoto Road,Existing,NA,Devonport-Takapuna,Off-road shared path,249.502765045429
515,1379,Lovers Lane,Existing,NA,Waitemata,Off-road shared path,535.748514236444
516,1380,Sandringham  Road Extension,Existing,NA,Puketapapa,Off-road shared path,56.165848654932
524,1390,Northwestern Cycleway (Newton Rd to Great North Road),Existing,NA,Waitemata,Off-road shared path,184.969138096397
526,1392,Off road cycle route,Existing,NA,Waitemata,Off-road shared path,925.315804086297
533,1400,Tahape Reserve West Link,Existing,2022,Orakei,Off-road shared path,186.142500427716
